Website,Bank credentials,Birth certificate,Diploma,Disability status,Driver's license,Employment history,Health insurance,Marriage certificate,Medical records,Official Identity Document,Prescriptions,Professional licenses,University transcript,Visa
Official Government Website of Lithuania,23.02%,48.20%,15.11%,25.18%,36.69%,12.95%,30.22%,38.85%,7.91%,93.53%,5.76%,16.55%,7.19%,44.60%
Official Government Website of Estonia,21.90%,47.45%,16.79%,24.09%,37.23%,18.98%,32.12%,34.31%,11.68%,94.16%,4.38%,18.25%,9.49%,45.26%
Flixbus,20.16%,1.61%,0.00%,10.48%,4.84%,0.00%,0.81%,0.81%,0.81%,60.48%,0.00%,0.00%,1.61%,9.68%
Blablacar,24.62%,0.77%,0.77%,8.46%,47.69%,2.31%,6.92%,0.77%,2.31%,61.54%,1.54%,3.08%,0.77%,12.31%
Trainline,27.27%,0.70%,0.70%,11.89%,3.50%,0.00%,5.59%,0.70%,0.00%,48.95%,0.70%,0.00%,2.10%,16.78%
Trenitalia,29.69%,2.34%,1.56%,8.59%,6.25%,0.78%,5.47%,1.56%,1.56%,57.81%,1.56%,0.78%,2.34%,15.62%
Eurail,26.71%,1.37%,1.37%,18.49%,6.85%,1.37%,4.11%,1.37%,2.05%,56.85%,1.37%,0.68%,2.05%,17.81%
Alsa,22.56%,2.26%,0.00%,9.02%,7.52%,0.00%,2.26%,0.00%,0.75%,54.89%,0.75%,0.75%,0.75%,16.54%
Ecolines,20.66%,0.83%,1.65%,11.57%,4.13%,1.65%,4.13%,0.00%,2.48%,46.28%,2.48%,1.65%,1.65%,15.70%
RegioJet,27.34%,0.00%,1.44%,10.07%,2.16%,0.72%,2.16%,0.00%,0.00%,53.96%,0.00%,1.44%,2.88%,15.11%
Faniani Coaches,21.68%,0.00%,0.70%,8.39%,8.39%,0.70%,4.20%,0.70%,0.70%,47.55%,0.00%,0.70%,0.70%,15.38%
HSBC,81.33%,8.67%,2.67%,2.00%,8.67%,10.00%,8.00%,2.67%,1.33%,94.67%,0.67%,6.00%,1.33%,10.00%
ABN Amro,85.48%,11.29%,3.23%,2.42%,9.68%,8.06%,8.06%,5.65%,0.00%,93.55%,0.00%,4.84%,0.00%,10.48%
Sparkasse,83.72%,9.30%,3.10%,2.33%,10.08%,13.95%,13.95%,6.20%,0.00%,95.35%,0.00%,9.30%,2.33%,8.53%
Sella,77.52%,5.43%,1.55%,1.55%,5.43%,4.65%,3.10%,5.43%,0.78%,96.12%,0.78%,2.33%,1.55%,7.75%
AIB Group,83.61%,13.11%,4.10%,5.74%,8.20%,11.48%,9.02%,7.38%,3.28%,96.72%,2.46%,7.38%,4.10%,13.11%
Handelsbanken,76.98%,7.14%,3.17%,3.97%,6.35%,5.56%,5.56%,3.17%,2.38%,94.44%,0.79%,3.17%,1.59%,7.14%
Bank of Valletta,78.26%,14.49%,5.07%,4.35%,10.14%,15.22%,12.32%,5.80%,1.45%,92.75%,1.45%,7.25%,4.35%,13.04%
Cecabank,79.41%,8.09%,1.47%,5.88%,9.56%,11.03%,7.35%,4.41%,1.47%,94.85%,0.00%,5.88%,0.74%,11.03%
Islandsbanki,76.42%,8.94%,2.44%,4.07%,7.32%,9.76%,8.13%,6.50%,4.07%,98.37%,0.81%,5.69%,1.63%,12.20%
Immobiliare,25.41%,5.52%,0.55%,3.87%,1.66%,11.60%,1.10%,5.52%,0.00%,53.59%,0.00%,5.52%,0.55%,7.18%
SeLoger,35.20%,4.08%,2.55%,3.06%,4.59%,11.22%,2.55%,5.10%,0.51%,59.18%,0.00%,7.14%,1.02%,7.14%
ImmoScout24,33.67%,2.51%,3.52%,6.03%,4.02%,16.58%,2.51%,3.52%,0.00%,51.76%,0.00%,6.03%,2.01%,9.55%
Rightmove,41.58%,4.46%,3.96%,5.45%,4.95%,17.33%,4.46%,8.42%,0.99%,67.82%,0.50%,5.94%,2.48%,13.37%
Hemnet,41.04%,5.20%,3.47%,2.89%,5.20%,18.50%,2.89%,5.78%,0.58%,64.74%,0.00%,9.25%,1.73%,7.51%
Immoweb,36.60%,4.12%,3.09%,4.64%,3.61%,12.37%,2.58%,8.76%,1.55%,61.86%,0.52%,6.19%,2.06%,9.79%
Ludwig Maximilian University of Munich,6.35%,11.11%,70.63%,15.08%,4.76%,29.37%,8.73%,2.38%,4.76%,80.16%,3.17%,30.95%,72.22%,23.81%
Utrecht University,7.89%,7.24%,63.82%,11.84%,4.61%,25.66%,8.55%,0.66%,0.66%,73.03%,1.32%,23.68%,72.37%,17.76%
Sorbonne University,10.77%,7.69%,78.46%,16.92%,6.92%,26.92%,10.77%,3.08%,2.31%,80.00%,0.00%,23.85%,76.15%,18.46%
Universidad de Salamanca,4.58%,8.40%,66.41%,10.69%,3.05%,19.85%,7.63%,0.00%,2.29%,79.39%,0.76%,21.37%,70.23%,23.66%
Central European University,4.65%,9.30%,78.29%,11.63%,5.43%,30.23%,7.75%,0.78%,3.10%,78.29%,0.78%,27.91%,81.40%,24.81%
University of Warsaw,6.30%,8.66%,74.80%,14.17%,4.72%,25.98%,7.87%,0.00%,1.57%,80.31%,0.79%,23.62%,80.31%,22.83%
University of Luxembourg,9.09%,4.55%,73.48%,7.58%,1.52%,25.00%,6.82%,0.76%,0.76%,71.97%,0.00%,24.24%,75.76%,24.24%
Liszt Academy of Music,6.90%,6.90%,66.90%,13.10%,2.76%,17.24%,3.45%,0.00%,2.76%,71.72%,0.00%,20.00%,73.79%,12.41%
Aarhus School of Architecture,3.73%,8.96%,66.42%,10.45%,5.22%,23.88%,4.48%,2.99%,2.24%,73.88%,2.24%,23.13%,73.88%,20.90%
Reuters,2.27%,2.27%,0.76%,0.76%,2.27%,1.52%,2.27%,0.76%,0.76%,21.97%,0.76%,2.27%,1.52%,1.52%
Le Monde,4.05%,1.35%,0.68%,0.00%,0.00%,2.03%,0.00%,0.00%,0.00%,16.22%,0.00%,3.38%,0.68%,0.00%
Der Standard,2.14%,1.43%,0.71%,0.00%,2.14%,0.71%,0.00%,0.00%,0.00%,19.29%,0.00%,2.14%,1.43%,0.71%
Irish Examiner,1.37%,3.42%,4.11%,2.05%,0.68%,2.74%,0.68%,0.68%,0.68%,22.60%,0.68%,4.11%,3.42%,1.37%
Digi24,0.00%,0.00%,0.00%,0.88%,0.88%,0.88%,0.88%,0.00%,0.88%,22.81%,0.00%,0.88%,0.00%,0.88%
Delo,0.76%,1.53%,2.29%,0.00%,1.53%,2.29%,0.00%,0.00%,0.00%,23.66%,0.00%,0.76%,0.00%,0.00%
Ekathimerini,2.99%,2.24%,0.75%,1.49%,2.99%,1.49%,0.75%,0.00%,0.75%,17.16%,1.49%,0.75%,0.75%,1.49%
Expresso,2.52%,0.84%,0.00%,0.84%,1.68%,1.68%,0.00%,0.00%,0.84%,18.49%,0.00%,1.68%,0.00%,0.00%
The Shift News,2.19%,2.19%,2.19%,0.00%,2.19%,0.73%,0.73%,0.00%,0.00%,17.52%,0.00%,1.46%,0.73%,0.73%
Europcar,34.71%,0.83%,0.83%,8.26%,92.56%,0.00%,7.44%,0.83%,0.00%,71.07%,0.00%,2.48%,0.00%,13.22%
Sixt,34.21%,3.51%,0.88%,14.91%,84.21%,0.88%,6.14%,0.88%,1.75%,66.67%,0.88%,0.00%,0.00%,16.67%
Hertz,33.06%,0.00%,0.81%,12.90%,89.52%,0.81%,7.26%,0.81%,0.81%,75.81%,0.00%,0.81%,0.00%,19.35%
Avis,34.62%,3.85%,0.77%,13.08%,89.23%,3.08%,8.46%,0.77%,5.38%,71.54%,1.54%,5.38%,0.77%,11.54%
Alamo,28.78%,2.16%,0.00%,12.23%,87.77%,0.00%,12.23%,0.00%,2.88%,76.98%,0.72%,2.88%,1.44%,19.42%
Greenmotion,34.85%,3.03%,2.27%,9.85%,87.88%,1.52%,6.82%,0.76%,1.52%,76.52%,0.76%,3.03%,0.76%,12.12%
Cambio CarSharing,33.05%,1.69%,0.85%,14.41%,91.53%,1.69%,6.78%,0.85%,4.24%,64.41%,1.69%,1.69%,0.85%,15.25%
ACE Rent A Car,32.31%,1.54%,1.54%,13.85%,90.77%,0.77%,3.85%,0.77%,1.54%,63.85%,0.77%,5.38%,1.54%,8.46%
Thrifty Car Rental,30.83%,0.83%,0.83%,10.83%,89.17%,0.00%,8.33%,0.83%,0.83%,65.00%,1.67%,1.67%,0.00%,7.50%
Dollar Rent A Car,30.58%,2.48%,0.83%,11.57%,90.91%,2.48%,8.26%,0.00%,2.48%,77.69%,0.83%,4.96%,0.83%,7.44%
Steam,29.70%,3.03%,0.61%,1.21%,2.42%,0.61%,1.82%,0.61%,0.61%,34.55%,0.61%,0.61%,1.21%,0.61%
Epic Games,29.69%,3.12%,0.52%,1.04%,2.60%,0.00%,0.52%,0.00%,0.52%,34.38%,0.00%,1.04%,0.52%,0.52%
Ubisoft,30.10%,4.08%,0.51%,1.02%,2.55%,0.51%,2.04%,0.51%,0.51%,33.67%,1.02%,1.02%,1.02%,3.06%
Playstation,36.71%,1.45%,0.00%,0.00%,2.42%,0.97%,0.00%,0.00%,0.00%,43.48%,0.00%,0.48%,0.00%,2.42%
Nintendo,32.78%,1.67%,0.56%,0.56%,2.78%,0.00%,1.11%,0.00%,0.56%,27.22%,0.00%,0.56%,0.00%,1.11%
GOG.com,32.37%,1.45%,0.48%,0.48%,0.97%,0.48%,0.97%,0.00%,0.00%,34.30%,0.00%,0.48%,0.97%,1.45%
Facebook,1.04%,3.12%,0.52%,0.52%,5.73%,2.08%,0.00%,0.00%,1.04%,43.23%,0.00%,1.04%,0.00%,0.52%
X,2.16%,3.24%,1.08%,0.00%,2.16%,0.00%,0.54%,0.00%,0.00%,44.86%,0.00%,2.16%,0.54%,0.54%
Instagram,1.98%,1.98%,0.99%,0.00%,1.49%,0.50%,0.00%,0.00%,0.00%,41.58%,0.00%,1.49%,0.00%,0.00%
Snapchat,3.55%,1.52%,1.52%,1.02%,2.03%,0.51%,1.02%,1.02%,1.02%,31.98%,1.02%,1.52%,0.51%,1.52%
TikTok,4.15%,4.15%,2.07%,1.04%,3.11%,1.04%,1.04%,0.52%,1.55%,32.12%,0.52%,3.63%,0.52%,0.52%
Bluesky,1.68%,0.56%,1.68%,0.00%,1.68%,2.79%,0.56%,0.00%,0.00%,36.31%,0.00%,2.23%,1.12%,0.56%
Wikipedia,0.00%,0.00%,4.03%,0.00%,0.00%,1.61%,0.00%,0.00%,0.81%,8.06%,0.00%,2.42%,2.42%,0.81%
Encyclopædia Britannica,1.44%,2.88%,6.47%,1.44%,1.44%,2.16%,1.44%,1.44%,1.44%,10.07%,1.44%,2.88%,5.04%,1.44%
Oxford Research Encyclopedias,4.76%,0.00%,17.69%,0.00%,1.36%,4.76%,0.00%,0.00%,0.00%,19.05%,0.00%,7.48%,16.33%,0.00%
Encyclopedia.com,0.88%,1.75%,4.39%,0.00%,0.00%,1.75%,0.88%,0.00%,0.00%,11.40%,0.00%,7.02%,4.39%,1.75%
Citizendium,2.03%,0.68%,10.81%,0.68%,2.03%,6.76%,1.35%,0.68%,0.68%,15.54%,0.68%,10.81%,6.76%,0.68%
World Book Online,2.22%,1.48%,10.37%,0.74%,2.96%,2.96%,0.74%,1.48%,0.74%,13.33%,0.74%,6.67%,5.93%,0.74%
InfoPlease,2.21%,0.74%,6.62%,0.74%,1.47%,2.94%,2.21%,1.47%,2.21%,10.29%,1.47%,2.21%,5.88%,2.21%
Scholarpedia,0.00%,0.00%,21.77%,1.61%,0.81%,9.68%,0.00%,0.00%,0.81%,8.06%,1.61%,11.29%,12.90%,0.00%
KnowledgePicker,0.74%,0.74%,7.41%,0.00%,0.74%,2.22%,0.74%,0.00%,0.00%,7.41%,0.00%,6.67%,5.93%,0.74%
Google,0.77%,1.54%,1.54%,0.77%,1.54%,2.31%,0.77%,1.54%,0.77%,16.15%,0.77%,0.77%,1.54%,2.31%
DuckDuckGo,0.00%,0.00%,0.00%,0.00%,1.69%,2.54%,0.85%,0.00%,0.00%,5.93%,0.00%,1.69%,0.85%,0.85%
Ecosia,1.39%,1.39%,2.78%,1.39%,1.39%,4.17%,1.39%,1.39%,2.08%,9.03%,2.08%,4.86%,2.78%,1.39%
Swisscows,0.71%,0.00%,1.43%,0.00%,0.71%,0.00%,0.71%,0.00%,0.00%,8.57%,0.00%,0.71%,0.71%,1.43%
Dogpile,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%,0.00%,0.77%,6.15%,0.00%,0.00%,0.00%,0.00%
Disconnect Search,2.42%,2.42%,1.61%,1.61%,1.61%,1.61%,1.61%,1.61%,1.61%,9.68%,1.61%,1.61%,1.61%,1.61%
Mojeek,0.00%,3.05%,0.76%,0.00%,1.53%,1.53%,0.00%,0.00%,0.00%,6.87%,0.00%,0.76%,0.00%,0.00%
Giburu,0.79%,1.59%,0.00%,0.00%,1.59%,0.00%,0.00%,0.00%,0.00%,8.73%,0.00%,0.79%,0.00%,0.00%
MetaGer,0.00%,1.45%,0.72%,0.72%,0.72%,1.45%,1.45%,0.00%,0.00%,10.14%,0.00%,2.90%,0.72%,2.17%
Paypal,81.82%,1.52%,0.51%,0.51%,6.57%,3.54%,4.04%,1.52%,0.51%,87.88%,0.51%,2.53%,1.01%,3.54%
Stripe,80.18%,6.91%,1.38%,1.84%,8.76%,2.30%,7.37%,2.30%,0.92%,88.02%,0.92%,1.38%,0.92%,5.53%
Square,78.26%,4.35%,0.54%,2.17%,5.98%,3.26%,4.35%,1.09%,0.54%,89.67%,0.54%,1.63%,0.54%,7.61%
Skrill,78.87%,6.19%,2.06%,3.09%,10.82%,4.12%,5.67%,2.58%,2.58%,88.14%,1.03%,4.12%,1.03%,9.28%
Payoneer,81.58%,3.68%,0.53%,1.05%,5.79%,2.11%,7.37%,1.58%,1.05%,90.00%,0.53%,3.16%,0.53%,6.32%
Wise,76.00%,1.71%,0.57%,0.57%,7.43%,2.86%,4.00%,1.14%,0.00%,91.43%,0.00%,1.14%,1.14%,6.29%
Totaljobs,2.30%,4.60%,70.11%,21.84%,19.54%,87.36%,3.45%,1.15%,4.60%,57.47%,1.15%,75.86%,43.68%,21.84%
Stepstone,1.47%,2.94%,76.47%,26.47%,23.53%,88.24%,4.41%,2.94%,0.00%,58.82%,0.00%,70.59%,44.12%,17.65%
Jobindex,6.85%,4.11%,69.86%,20.55%,21.92%,89.04%,2.74%,4.11%,5.48%,56.16%,2.74%,68.49%,35.62%,12.33%
Profesia,1.39%,4.17%,72.22%,19.44%,25.00%,84.72%,4.17%,2.78%,2.78%,56.94%,1.39%,69.44%,37.50%,11.11%
Jobs.ie,1.49%,4.48%,80.60%,16.42%,22.39%,86.57%,2.99%,2.99%,2.99%,56.72%,1.49%,80.60%,44.78%,16.42%
Prace,2.63%,2.63%,61.84%,2.63%,19.74%,77.63%,6.58%,1.32%,2.63%,55.26%,0.00%,69.74%,39.47%,13.16%
Indeed,3.90%,2.60%,61.04%,9.09%,16.88%,85.71%,1.30%,2.60%,1.30%,54.55%,1.30%,76.62%,35.06%,7.79%
LinkedIn,0.00%,4.29%,74.29%,11.43%,10.00%,85.71%,2.86%,0.00%,0.00%,54.29%,0.00%,71.43%,32.86%,7.14%
We Work Remotely,3.80%,1.27%,67.09%,17.72%,22.78%,81.01%,6.33%,1.27%,5.06%,59.49%,0.00%,75.95%,26.58%,16.46%
Ladders,2.70%,2.70%,70.27%,6.76%,14.86%,79.73%,2.70%,0.00%,2.70%,52.70%,1.35%,63.51%,32.43%,10.81%
ClearanceJobs,5.06%,1.27%,65.82%,20.25%,16.46%,81.01%,6.33%,1.27%,5.06%,45.57%,1.27%,69.62%,36.71%,15.19%
CoolWorks,0.00%,3.08%,69.23%,12.31%,15.38%,89.23%,0.00%,0.00%,1.54%,47.69%,0.00%,72.31%,38.46%,20.00%
eChinaCities,2.38%,2.38%,70.24%,16.67%,13.10%,80.95%,7.14%,0.00%,1.19%,52.38%,0.00%,60.71%,45.24%,14.29%
ChinaJob,2.35%,3.53%,70.59%,20.00%,18.82%,82.35%,7.06%,0.00%,4.71%,49.41%,0.00%,63.53%,44.71%,23.53%
HiredChina,9.64%,4.82%,68.67%,10.84%,19.28%,79.52%,7.23%,2.41%,2.41%,46.99%,1.20%,62.65%,38.55%,20.48%
LaowaiCareer,2.74%,6.85%,76.71%,17.81%,20.55%,93.15%,4.11%,1.37%,5.48%,50.68%,2.74%,76.71%,46.58%,21.92%
Lockin China,1.39%,2.78%,61.11%,13.89%,13.89%,73.61%,6.94%,0.00%,4.17%,50.00%,0.00%,63.89%,36.11%,13.89%
ExpatJobs,5.41%,5.41%,71.62%,20.27%,28.38%,87.84%,9.46%,2.70%,5.41%,54.05%,2.70%,74.32%,39.19%,29.73%
Lufthansa,29.27%,3.66%,1.22%,21.95%,7.32%,0.00%,12.20%,1.22%,3.66%,75.61%,1.22%,1.22%,0.00%,50.00%
Pegasus Airlines,27.91%,1.16%,1.16%,16.28%,3.49%,2.33%,11.63%,1.16%,4.65%,80.23%,2.33%,2.33%,0.00%,43.02%
British Airways,31.87%,4.40%,1.10%,26.37%,8.79%,1.10%,8.79%,2.20%,3.30%,90.11%,2.20%,3.30%,1.10%,52.75%
Blue Air,36.36%,2.60%,1.30%,22.08%,5.19%,1.30%,5.19%,1.30%,5.19%,67.53%,3.90%,1.30%,1.30%,41.56%
Lauda Europe,39.71%,4.41%,0.00%,22.06%,7.35%,1.47%,13.24%,1.47%,5.88%,80.88%,4.41%,1.47%,0.00%,35.29%
Braathens Regional Airlines,30.67%,0.00%,0.00%,12.00%,10.67%,0.00%,2.67%,0.00%,2.67%,70.67%,0.00%,0.00%,1.33%,37.33%
Delta Air Lines,42.11%,2.63%,1.32%,17.11%,5.26%,0.00%,7.89%,1.32%,2.63%,61.84%,2.63%,2.63%,0.00%,46.05%
Hawaiian Airlines,23.53%,0.00%,0.00%,20.59%,5.88%,0.00%,5.88%,0.00%,7.35%,73.53%,7.35%,0.00%,0.00%,47.06%
Spirit Airlines,41.67%,0.00%,0.00%,18.06%,11.11%,1.39%,9.72%,1.39%,2.78%,76.39%,1.39%,0.00%,1.39%,48.61%
Avelo Airlines,34.07%,2.20%,0.00%,21.98%,8.79%,0.00%,5.49%,1.10%,1.10%,75.82%,1.10%,0.00%,2.20%,43.96%
Silver Airways,32.22%,4.44%,0.00%,18.89%,4.44%,1.11%,7.78%,2.22%,2.22%,62.22%,2.22%,1.11%,0.00%,27.78%
Southern Airways Express,33.82%,8.82%,1.47%,19.12%,13.24%,1.47%,8.82%,1.47%,5.88%,75.00%,1.47%,4.41%,1.47%,44.12%
Air China,32.84%,0.00%,1.49%,16.42%,7.46%,1.49%,2.99%,0.00%,2.99%,77.61%,1.49%,1.49%,0.00%,50.75%
XiamenAir,30.99%,1.41%,0.00%,21.13%,5.63%,0.00%,4.23%,1.41%,2.82%,74.65%,0.00%,0.00%,0.00%,43.66%
China Southern Airlines,29.41%,2.35%,1.18%,20.00%,3.53%,1.18%,8.24%,1.18%,2.35%,69.41%,3.53%,1.18%,1.18%,45.88%
Juneyao Airlines,28.57%,0.00%,1.43%,21.43%,7.14%,0.00%,10.00%,0.00%,1.43%,72.86%,1.43%,0.00%,1.43%,58.57%
Shenzhen Airlines,25.84%,3.37%,0.00%,19.10%,5.62%,1.12%,8.99%,1.12%,3.37%,75.28%,0.00%,1.12%,0.00%,46.07%
9 Air,30.99%,1.41%,1.41%,14.08%,7.04%,0.00%,1.41%,1.41%,2.82%,67.61%,0.00%,0.00%,0.00%,43.66%
Zalando,35.63%,1.15%,0.00%,1.15%,0.00%,0.00%,1.15%,0.00%,0.00%,11.49%,0.00%,0.00%,0.00%,0.00%
ASOS,27.06%,1.18%,0.00%,1.18%,0.00%,2.35%,0.00%,0.00%,0.00%,12.94%,0.00%,1.18%,1.18%,2.35%
Hobbii,18.67%,1.33%,1.33%,1.33%,2.67%,2.67%,4.00%,1.33%,1.33%,12.00%,1.33%,2.67%,1.33%,2.67%
eMAG,31.65%,2.53%,1.27%,2.53%,7.59%,2.53%,2.53%,1.27%,1.27%,20.25%,1.27%,1.27%,3.80%,1.27%
Verkkokauppa.com,47.37%,2.63%,2.63%,5.26%,2.63%,2.63%,1.32%,2.63%,1.32%,23.68%,1.32%,1.32%,2.63%,1.32%
Ravensburger,26.32%,2.63%,2.63%,1.32%,1.32%,2.63%,3.95%,1.32%,1.32%,7.89%,1.32%,2.63%,2.63%,1.32%
Amazon,56.34%,1.41%,1.41%,1.41%,5.63%,0.00%,0.00%,0.00%,0.00%,38.03%,1.41%,0.00%,1.41%,2.82%
Etsy,42.39%,0.00%,1.09%,1.09%,2.17%,0.00%,1.09%,0.00%,0.00%,33.70%,0.00%,3.26%,0.00%,1.09%
Overstock,30.16%,0.00%,0.00%,0.00%,0.00%,0.00%,1.59%,0.00%,0.00%,17.46%,0.00%,0.00%,0.00%,0.00%
Bookshop.org,32.43%,1.35%,5.41%,2.70%,0.00%,4.05%,1.35%,0.00%,0.00%,20.27%,0.00%,4.05%,2.70%,4.05%
Huckberry,31.17%,2.60%,1.30%,1.30%,1.30%,2.60%,1.30%,0.00%,0.00%,16.88%,1.30%,1.30%,0.00%,1.30%
Rifle Paper Co.,26.03%,0.00%,1.37%,0.00%,0.00%,0.00%,1.37%,0.00%,0.00%,12.33%,0.00%,0.00%,1.37%,1.37%
AliExpress,31.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.74%,0.00%,0.00%,0.00%,0.00%
Banggood,34.29%,0.00%,0.00%,0.00%,1.43%,0.00%,0.00%,0.00%,0.00%,15.71%,0.00%,0.00%,0.00%,1.43%
Tomtop,48.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.03%,0.00%,1.35%,0.00%,2.70%
Shein,40.28%,0.00%,0.00%,1.39%,2.78%,1.39%,0.00%,1.39%,0.00%,18.06%,0.00%,0.00%,1.39%,0.00%
MiniInTheBox,25.76%,1.52%,1.52%,3.03%,1.52%,0.00%,1.52%,0.00%,0.00%,19.70%,0.00%,1.52%,0.00%,3.03%
Chinavasion,23.26%,1.16%,0.00%,1.16%,1.16%,1.16%,1.16%,0.00%,0.00%,15.12%,0.00%,5.81%,0.00%,1.16%
